rank,candidate_id,name,final_score,semantic_score,response_rate
1,CAND_0000031,Ela Singh,0.6775723917484283,0.5592873,0.91
2,CAND_0000025,Anika Kumar,0.46335793662071234,0.24226323,0.74
3,CAND_0000016,Aanya Malhotra,0.4611542674303055,0.27859044,0.64
4,CAND_0000027,Avni Pandey,0.45134734106063845,0.2905789,0.58
5,CAND_0000022,Shaurya Chatterjee,0.4410210540294647,0.4033684,0.27
6,CAND_0000048,Vihaan Saxena,0.43291062128543856,0.26818436,0.65
7,CAND_0000001,Ira Vora,0.4257113411426544,0.31118557,0.34
8,CAND_0000045,Vikram Mittal,0.4228722758293152,0.2764538,0.62
9,CAND_0000032,Pranav Agarwal,0.42268821036815646,0.34448034,0.69
10,CAND_0000014,Atharv Joshi,0.41984581589698794,0.34140968,0.8
11,CAND_0000002,Saanvi Sethi,0.41887925684452054,0.33146542,0.29
12,CAND_0000013,Pari Nair,0.4151460423469543,0.37691006,0.28
13,CAND_0000044,Vihaan Naidu,0.4141136716604233,0.36018944,0.66
14,CAND_0000024,Rajesh Arora,0.4138189553022385,0.30969825,0.78
15,CAND_0000037,Ved Sen,0.40744104433059697,0.28240174,0.78
16,CAND_0000015,Rahul Agarwal,0.4033496812582016,0.27891612,0.32
17,CAND_0000038,Myra Trivedi,0.4030484968423843,0.31341416,0.2
18,CAND_0000036,Ananya Bose,0.3944506483078003,0.22741774,0.4
19,CAND_0000023,Kavya Nair,0.3943071701526642,0.3171786,0.57
20,CAND_0000030,Ritu Pillai,0.3803574460744858,0.2922624,0.66
21,CAND_0000007,Vihaan Bose,0.3787159434556961,0.34619322,0.62
22,CAND_0000040,Dev Vora,0.3730518461465836,0.3350864,0.46
23,CAND_0000003,Yash Agarwal,0.3724748610258103,0.32412475,0.46
24,CAND_0000026,Neha Rao,0.3716983689069748,0.34116393,0.59
25,CAND_0000005,Aisha Sethi,0.3712268363237381,0.20537806,0.37
26,CAND_0000041,Anjali Khanna,0.37046429419517524,0.2857738,0.07
27,CAND_0000042,Riya Mukherjee,0.36065430140495297,0.34942383,0.58
28,CAND_0000039,Sai Saxena,0.35283089864253997,0.29138482,0.52
29,CAND_0000020,Aditya Iyengar,0.34969956254959106,0.28116593,0.55
30,CAND_0000008,Shaurya Chatterjee,0.34688364732265475,0.31480607,0.42
31,CAND_0000010,Aarav Kapoor,0.34546640384197236,0.35411066,0.4
32,CAND_0000021,Rahul Joshi,0.34030418789386746,0.31550696,0.49
33,CAND_0000049,Tanya Chowdary,0.33780275785923003,0.2730046,0.59
34,CAND_0000047,Avni Bansal,0.3372510529756546,0.34208506,0.39
35,CAND_0000011,Deepak Desai,0.3224679179191589,0.27577984,0.56
36,CAND_0000028,Rohan Krishnan,0.31985161447525023,0.343086,0.14
37,CAND_0000033,Shreya Nair,0.3120622663497925,0.26510376,0.08
38,CAND_0000035,Vikram Verma,0.30856762754917144,0.3176127,0.34
39,CAND_0000009,Amit Shah,0.3078428691625595,0.24640477,0.53
40,CAND_0000018,Vivaan Reddy,0.2992231566905975,0.32870525,0.16
41,CAND_0000050,Naina Bose,0.29625370633602144,0.2570895,0.42
42,CAND_0000004,Anil Bose,0.2886853243112564,0.33614218,0.26
43,CAND_0000046,Dev Nair,0.28283627939224243,0.26806045,0.41
44,CAND_0000012,Anjali Krishnan,0.26934388184547425,0.32557312,0.16
45,CAND_0000043,Aarav Sen,0.2678072172403336,0.313012,0.04
46,CAND_0000019,Myra Mishra,0.2605041047334671,0.2691735,0.34
47,CAND_0000006,Rajesh Desai,0.25874841189384457,0.29624733,0.12
48,CAND_0000034,Yash Chatterjee,0.2543517700433731,0.30558628,0.15
49,CAND_0000029,Priya Sethi,0.2525045070648193,0.26917416,0.12
50,CAND_0000017,Anil Pandey,0.23981374955177306,0.25635624,0.27
